arxiv_id,title,published,authors,affiliations,pdf_url,field
2512.03925v1,Towards Quantum Stochastic Optimization for Energy Systems under Uncertainty: Joint Chance Constraints with Quantum Annealing,2025-12-03,David Ribes; Tatiana Gonzalez Grandon,,https://arxiv.org/pdf/2512.03925v1,Quantum Computing – Applications
2512.03898v1,Polylogarithmic-Depth Quantum Algorithm for Simulating the Extended Hubbard Model on a Two-Dimensional Lattice Using the Fast Multipole Method,2025-12-03,Yu Wang; Martina Nibbi; Maxine Luo; Isabel Nha Minh Le; Yanbin Chen; J. Ignacio Cirac; Christian Mendl,,https://arxiv.org/pdf/2512.03898v1,Quantum Computing – Algorithms
2512.03788v1,Quantum Algorithm for Searching for the Longest Segment and the Largest Empty Rectangle,2025-12-03,Kamil Khadiev; Vladislav Remidovskii; Timur Bikmullin; Aliya Khadieva,,https://arxiv.org/pdf/2512.03788v1,Quantum Computing – Algorithms
2512.03770v1,Quantum Simulations of Opinion Dynamics,2025-12-03,Xingyu Guo; Xiaoyang Wang; Lingxiao Wang,,https://arxiv.org/pdf/2512.03770v1,Quantum Computing – Algorithms
2512.03758v1,An end-to-end quantum algorithm for nonlinear fluid dynamics with bounded quantum advantage,2025-12-03,David Jennings; Kamil Korzekwa; Matteo Lostaglio; Richard Ashworth; Emanuele Marsili; Stephen Rolston,,https://arxiv.org/pdf/2512.03758v1,Quantum Computing – Algorithms
2512.03685v1,Distributed Quantum Computing with Fan-Out Operations and Qudits: the Case of Distributed Global Gates (a Preliminary Study),2025-12-03,Seng W. Loke,,https://arxiv.org/pdf/2512.03685v1,Quantum Computing – Theory
2512.03681v1,Direct Equivalence between Dynamics of Quantum Walks and Coupled Classical Oscillators,2025-12-03,Lilith Zschetzsche; Refik Mansuroglu; András Molnár; Norbert Schuch,,https://arxiv.org/pdf/2512.03681v1,Quantum Computing – Algorithms
2512.03647v1,Optimizing two-qubit gates for ultracold fermions in optical lattices,2025-12-03,Jan A. P. Reuter; Juhi Singh; Tommaso Calarco; Felix Motzoi; Robert Zeier,,https://arxiv.org/pdf/2512.03647v1,Quantum Computing – Hardware
2512.03588v1,Numerical simulation of coherent spin-shuttling in a QuBus with charged defects,2025-12-03,Nils Ciroth; Arnau Sala; Ran Xue; Lasse Ermoneit; Thomas Koprucki; Markus Kantner; Lars R. Schreiber,,https://arxiv.org/pdf/2512.03588v1,Quantum Computing – Algorithms
2512.03526v1,Stretched Exponential Scaling of Parity-Restricted Energy Gaps in a Random Transverse-Field Ising Model,2025-12-03,G. -X. Tang; J. -Z. Zhuang; L. -M. Duan; Y. -K. Wu,,https://arxiv.org/pdf/2512.03526v1,Quantum Computing – Applications
2512.03362v1,Hybridized-Mode Parametric Amplifier in Kinetic-Inductance Circuits,2025-12-03,Danial Davoudi; Abdul Mohamed; Shabir Barzanjeh,,https://arxiv.org/pdf/2512.03362v1,Quantum Computing – Hardware
2512.03341v1,Quench dynamics of the quantum XXZ chain with staggered interactions: Exact results and simulations on digital quantum computers,2025-12-03,Ching-Tai Huang; Yu-Cheng Lin; Ferenc Igloi,,https://arxiv.org/pdf/2512.03341v1,Quantum Computing – Algorithms
2512.03177v1,Magic of the Well: assessing quantum resources of fluid dynamics data,2025-12-02,Antonio Francesco Mello; Mario Collura; E. Miles Stoudenmire; Ryan Levy,,https://arxiv.org/pdf/2512.03177v1,Quantum Computing – Applications
2512.03138v1,The Pound-Drever-Hall Method for Superconducting-Qubit Readout,2025-12-02,Ibukunoluwa Adisa; Won Chan Lee; Kevin C. Cox; Alicia J. Kollár,,https://arxiv.org/pdf/2512.03138v1,Quantum Computing – Hardware
2512.03131v1,Generating redundantly encoded resource states for photonic quantum computing,2025-12-02,Samuel J. Sheldon; Pieter Kok,,https://arxiv.org/pdf/2512.03131v1,Quantum Computing – Hardware
2512.03029v1,Combinatorial foundations for solvable chaotic local Euclidean quantum circuits in two dimensions,2025-12-02,Fredy Yip,,https://arxiv.org/pdf/2512.03029v1,Quantum Computing – Theory
2512.02996v1,Structured Clifford+T Circuits for Efficient Generation of Quantum Chaos,2025-12-02,Asim Sharma; Avah Banerjee,,https://arxiv.org/pdf/2512.02996v1,Quantum Computing – Theory
2512.02940v1,Scalable Quantum Walk-Based Heuristics for the Minimum Vertex Cover Problem,2025-12-02,F. S. Luiz; A. K. F. Iwakami; D. H. Moraes; M. C. de Oliveira,,https://arxiv.org/pdf/2512.02940v1,Quantum Computing – Algorithms
2512.02928v1,Time-series forecasting with multiphoton quantum states and integrated photonics,2025-12-02,Rosario Di Bartolo; Simone Piacentini; Francesco Ceccarelli; Giacomo Corrielli; Roberto Osellame; Valeria Cimini; Fabio Sciarrino,,https://arxiv.org/pdf/2512.02928v1,Quantum Computing – Hardware
2512.02890v1,SDQC: Distributed Quantum Computing Architecture Utilizing Entangled Ion Qubit Shuttling,2025-12-02,Seunghyun Baek; Seok-Hyung Lee; Dongmoon Min; Junki Kim,,https://arxiv.org/pdf/2512.02890v1,Quantum Computing – Hardware
2512.02809v1,Effect of slowly decaying long-range interactions on topological qubits,2025-12-02,Etienne Granet; Michael Levin,,https://arxiv.org/pdf/2512.02809v1,Quantum Error Correction
2512.02798v1,Theory of single-photon emission from neutral and charged excitons in a polarization-selective cavity,2025-12-02,Luca Vannucci; Niels Gregersen,,https://arxiv.org/pdf/2512.02798v1,Quantum Computing – Hardware
2512.02760v1,Fault-tolerant quantum computation with constant overhead for general noise,2025-12-02,Matthias Christandl; Omar Fawzi; Ashutosh Goswami,,https://arxiv.org/pdf/2512.02760v1,Quantum Error Correction
2512.02706v1,Lectures on Quantum Field Theory on a Quantum Computer,2025-12-02,Aninda Sinha; Ujjwal Basumatary,,https://arxiv.org/pdf/2512.02706v1,General Quantum Computing
2512.02666v1,Efficient Simulation of the 2D Hubbard Model via Hilbert Space-Filling Curve Mapping,2025-12-02,Ashkan Abedi; Vittorio Giovannetti; Dario De Santis,,https://arxiv.org/pdf/2512.02666v1,Quantum Computing – Algorithms
2512.02619v1,Quantum LLMs Using Quantum Computing to Analyze and Process Semantic Information,2025-12-02,Timo Aukusti Laine,,https://arxiv.org/pdf/2512.02619v1,General Quantum Computing
2512.02607v1,A unified optical platform for non-Gaussian and fault-tolerant Gottesman-Kitaev-Preskill states,2025-12-02,Ozlem Erkilic; Aritra Das; Biveen Shajilal; Ping Koy Lam; Timothy C. Ralph; Syed M. Assad,,https://arxiv.org/pdf/2512.02607v1,Quantum Error Correction
2512.02539v1,Constraint-Optimal Driven Allocation for Scalable QEC Decoder Scheduling,2025-12-02,Dongmin Kim; Jeonggeun Seo; Youngtae Kim; Youngsun Han,,https://arxiv.org/pdf/2512.02539v1,Quantum Error Correction
2512.02516v1,Improved Ising Meson Spectroscopy Simulation on a Noisy Digital Quantum Device,2025-12-02,Hao-Ti Hung; Isabel Nha Minh Le; Johannes Knolle; Ying-Jer Kao,,https://arxiv.org/pdf/2512.02516v1,Quantum Computing – Algorithms
2512.02422v1,Quantum feature encoding optimization,2025-12-02,Tommaso Fioravanti; Brian Quanz; Gabriele Agliardi; Edgar Andres Ruiz Guzman; Ginés Carrascal; Jae-Eun Park,,https://arxiv.org/pdf/2512.02422v1,Quantum Computing – Applications
