arxiv_id,title,published,authors,affiliations,pdf_url
2512.04066v1,Instantaneous Sobolev Regularization for Dissipative Bosonic Dynamics,2025-12-03,Pablo Costa Rico; Paul Gondolf; Tim Möbus,,https://arxiv.org/pdf/2512.04066v1
2512.04016v1,TARA Test-by-Adaptive-Ranks for Quantum Anomaly Detection with Conformal Prediction Guarantees,2025-12-03,Davut Emre Tasar; Ceren Ocal Tasar,,https://arxiv.org/pdf/2512.04016v1
2512.03929v1,Rethinking Collapse: Coupling Quantum States to Classical Bits with quasi-probabilities,2025-12-03,Dagomir Kaszlikowski; Pawel Kurzynski,,https://arxiv.org/pdf/2512.03929v1
2512.03925v1,Towards Quantum Stochastic Optimization for Energy Systems under Uncertainty: Joint Chance Constraints with Quantum Annealing,2025-12-03,David Ribes; Tatiana Gonzalez Grandon,,https://arxiv.org/pdf/2512.03925v1
2512.03924v1,Experimental Quantum Electronic Voting,2025-12-03,Nicolas Laurent-Puig; Matilde Baroni; Federico Centrone; Eleni Diamanti,,https://arxiv.org/pdf/2512.03924v1
2512.03898v1,Polylogarithmic-Depth Quantum Algorithm for Simulating the Extended Hubbard Model on a Two-Dimensional Lattice Using the Fast Multipole Method,2025-12-03,Yu Wang; Martina Nibbi; Maxine Luo; Isabel Nha Minh Le; Yanbin Chen; J. Ignacio Cirac; Christian Mendl,,https://arxiv.org/pdf/2512.03898v1
2512.03808v1,Solution of the Electric Field Integral Equation Using a Hybrid Quantum-Classical Scheme: Investigation of Accuracy and Efficiency,2025-12-03,Rui Chen; Teng-Yang Ma; Meng-Han Dou; Chao-Fu Wang,,https://arxiv.org/pdf/2512.03808v1
2512.03788v1,Quantum Algorithm for Searching for the Longest Segment and the Largest Empty Rectangle,2025-12-03,Kamil Khadiev; Vladislav Remidovskii; Timur Bikmullin; Aliya Khadieva,,https://arxiv.org/pdf/2512.03788v1
2512.03770v1,Quantum Simulations of Opinion Dynamics,2025-12-03,Xingyu Guo; Xiaoyang Wang; Lingxiao Wang,,https://arxiv.org/pdf/2512.03770v1
2512.03769v1,Metrological Sensitivity beyond Gaussian Limits with Cubic Phase States,2025-12-03,Jiajie Guo; Shuheng Liu; Boxuan Jing; Qiongyi He; Manuel Gessner,,https://arxiv.org/pdf/2512.03769v1
2512.03758v1,An end-to-end quantum algorithm for nonlinear fluid dynamics with bounded quantum advantage,2025-12-03,David Jennings; Kamil Korzekwa; Matteo Lostaglio; Richard Ashworth; Emanuele Marsili; Stephen Rolston,,https://arxiv.org/pdf/2512.03758v1
2512.03735v1,Non-Gaussian Dissipative Quantum Thermometry Beyond Gaussian Bounds,2025-12-03,Pritam Chattopadhyay,,https://arxiv.org/pdf/2512.03735v1
2512.03685v1,Distributed Quantum Computing with Fan-Out Operations and Qudits: the Case of Distributed Global Gates (a Preliminary Study),2025-12-03,Seng W. Loke,,https://arxiv.org/pdf/2512.03685v1
2512.03681v1,Direct Equivalence between Dynamics of Quantum Walks and Coupled Classical Oscillators,2025-12-03,Lilith Zschetzsche; Refik Mansuroglu; András Molnár; Norbert Schuch,,https://arxiv.org/pdf/2512.03681v1
2512.03647v1,Optimizing two-qubit gates for ultracold fermions in optical lattices,2025-12-03,Jan A. P. Reuter; Juhi Singh; Tommaso Calarco; Felix Motzoi; Robert Zeier,,https://arxiv.org/pdf/2512.03647v1
